,template_name,template_id,template_version,chart_type,url
43,quiz,@flourish/quiz,7.7.1,quiz,https://app.flourish.studio/@flourish/quiz/7.7.1#api
44,radar chart,@flourish/radar,4.1.2,radar,https://app.flourish.studio/@flourish/radar/4.1.2#api
45,sankey diagram,@flourish/sankey,10.10.2,sankey,https://app.flourish.studio/@flourish/sankey/10.10.2#api
46,scatter,@flourish/scatter,22.2.3,scatter,https://app.flourish.studio/@flourish/scatter/22.2.3#api
47,slope chart,@flourish/slope-chart,13.2.1,slope,https://app.flourish.studio/@flourish/slope-chart/13.2.1#api
48,sports,@flourish/sports,9.1.2,sports,https://app.flourish.studio/@flourish/sports/9.1.2#api
49,sports race,@flourish/sports-race,2.6.1,sports_race,https://app.flourish.studio/@flourish/sports-race/2.6.1#api
50,survey,@flourish/survey,14.1.3,survey,https://app.flourish.studio/@flourish/survey/14.1.3#api
51,svg annotator,@flourish/svg-annotator,6.0.2,svg_annotator,https://app.flourish.studio/@flourish/svg-annotator/6.0.2#api
52,table,@flourish/table,17.2.1,table,https://app.flourish.studio/@flourish/table/17.2.1#api
53,text annotator,@flourish/text-annotator,3.9.1,text_annotator,https://app.flourish.studio/@flourish/text-annotator/3.9.1#api
54,timeline,@flourish/timeline,2.1.2,timeline,https://app.flourish.studio/@flourish/timeline/2.1.2#api
55,tournament,@flourish/tournament,1.7.1,tournament,https://app.flourish.studio/@flourish/tournament/1.7.1#api
56,word cloud,@flourish/word-cloud,3.10.1,word_cloud,https://app.flourish.studio/@flourish/word-cloud/3.10.1#api
